"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","Bioavailability","Dataset","Administration route","INCHI_KEY"
"C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N","-","-","AUTO_1","sulfadiazine","A139796","32379452","-","-","High","Train","oral","SEEPANYCNGTZFQ-UHFFFAOYSA"
"N1(C2=C(C(N)=NC(=N2)Cl)N=C1)C3C(C(O)C(O3)CO)F","-","-","AUTO_2","Clofarabine","A139796","32379452","-","-","High","Train","oral","WDDPHFBMKLOVOX-UHFFFAOYSA"
"O=S(NC1=NOC(C)=C1)(C2=CC=C(N)C=C2)=O","-","-","AUTO_3","sulfamethoxazole","A139796","32379452","-","-","High","Train","oral","JLKIGFTWXXRPMT-UHFFFAOYSA"
"N1C(=NCC1)CC2=CC=CC=C2","-","-","AUTO_4","TOLAZOLINE","A139796","32379452","-","-","High","Train","oral","JIVZKJJQOZQXQB-UHFFFAOYSA"
"CN1C(C2=CN=CC=C2)CCC1=O","-","-","AUTO_5","Cotinine","A139796","32379452","-","-","High","Train","oral","UIKROCXWUNQSPJ-UHFFFAOYSA"
"N1=C(N)OC(C2=CC=CC=C2)C1C","-","-","AUTO_6","4-Methylaminorex","A139796","32379452","-","-","High","Train","oral","LJQBMYDFWFGESC-UHFFFAOYSA"
"C1=2C(NC=C1CCN)=CC=C(C2)O","-","-","AUTO_7","Serotonin","A139796","32379452","-","-","Low","Train","oral","QZAYGJVTTNCVMB-UHFFFAOYSA"
"CC(O)C1C2SC(=C(N2C1=O)C(O)=O)COC(N)=O","-","-","AUTO_8","RITIPENEM","A139796","32379452","-","-","Low","Train","oral","IKQNRQOUOZJHTR-UWBRJAPDSA"
"OCC1CCC(N2C=NC3=C2N=CNC3=O)O1","-","-","AUTO_9","Didanosine","A139796","32379452","-","-","Low","Train","oral","BXZVVICBKDXVGW-UHFFFAOYSA"
"S1(=O)(=O)C(C(N2C1CC2=O)C(O)=O)(CN3N=NC=C3)C","-","-","AUTO_10","Tazobactam","A139796","32379452","-","-","Low","Train","oral","LPQZKKCYTLCDGQ-WEDXCCLWSA"
"O=C(O)CCCC1=CC=CC=C1","-","-","AUTO_11","Phenylbutyrate","A139796","32379452","-","-","High","Train","oral","OBKXEAXTFZPCHS-UHFFFAOYSA"
"CC1=CN(C(NC1=O)=O)C2CC(C(O2)CO)F","-","-","AUTO_12","Alovudine","A139796","32379452","-","-","High","Train","oral","UXCAQJAQSWSNPQ-UHFFFAOYSA"
"P(OCC1OC(N2C3=NC(F)=NC(N)=C3N=C2)C(O)C1O)(O)(O)=O","-","-","AUTO_13","Fludarabine","A139796","32379452","-","-","High","Train","oral","GIUYCYHIANZCFB-UHFFFAOYSA"
"C1=CC2=C(C=C1)OC(CO2)CNC(=N)N","-","-","AUTO_14","guanoxan","A139796","32379452","-","-","High","Train","oral","HIUVKVDQFXDZHU-UHFFFAOYSA"
"S1(CC(C)N(CC1)N=CC=2OC(N(=O)=O)=CC2)(=O)=O","-","-","AUTO_15","Nifurtimox","A139796","32379452","-","-","Low","Train","oral","ARFHIAQFJWUCFH-IZZDOVSWSA"
"CC1=CN(C(NC1=O)=O)C2CC(C(O2)CO)N=N#N","-","-","AUTO_16","Zidovudine","A139796","32379452","-","-","High","Train","oral","HBOMLICNUCNMMY-UHFFFAOYSA"
"O1C(N2C=3N=C(N=C(N([H])[H])C3N=C2[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])[H]","-","-","AUTO_17","Vidarabine","A139796","32379452","-","-","Low","Train","oral","OIRDTQYFTABQOQ-UHTZMRCNSA"
"CCOC=1C=CC(NC(C)=O)=CC1","-","-","AUTO_18","phenacetin","A139796","32379452","-","-","Low","Train","oral","CPJSUEIXXCENMM-UHFFFAOYSA"
"CC(C(O)=O)(N)CC1=CC(O)=C(O)C=C1","-","-","AUTO_19","Methyldopa","A139796","32379452","-","-","Low","Train","oral","CJCSPKMFHVPWAR-UHFFFAOYSA"
"FC(F)=CC1CN(C(CC)C(=O)N)C(=O)C1","-","-","AUTO_20","Seletracetam","A139796","32379452","-","-","High","Train","oral","ANWPENAPCIFDSZ-RQJHMYQMSA"
"CN1CCCC1C2=CC=CN=C2","-","-","AUTO_21","Nicotine","A139796","32379452","-","-","Low","Train","oral","SNICXCGAKADSCV-UHFFFAOYSA"
"C(C(C(O)=O)(NN)C)C=1C=C(C(O)=CC1)O","-","-","AUTO_22","Carbidopa","A139796","32379452","-","-","High","Train","oral","TZFNLOMSOLWIDK-JTQLQIEISA"
"O1C(N2C=C(C(=O)NC2=O)C)CC(O)C1CO","-","-","AUTO_23","Telbivudine","A139796","32379452","-","-","High","Train","oral","IQFYYKKMVGJFEH-CSMHCCOUSA"
"CC(O)CN1C=NC2=C1C(N(C)C(N2C)=O)=O","-","-","AUTO_24","Proxyphylline","A139796","32379452","-","-","High","Train","oral","KYHQZNGJUGFTGR-UHFFFAOYSA"
"O=C1N(C(=O)C=2N(C=NC2N1C)CC(O)CO)C","-","-","AUTO_25","Diprophylline","A139796","32379452","-","-","High","Train","oral","KSCFJBIXMNOVSH-UHFFFAOYSA"
"C=1C(S(C)=O)=C(C)C=C(OC)C1OC","-","-","AUTO_26","Tolmesoxide","A139796","32379452","-","-","High","Train","oral","OZNTVIXYGTUPJY-UHFFFAOYSA"
"COC1=CC=CC=C1OCC(CO)O","-","-","AUTO_27","Guaifenesin","A139796","32379452","-","-","High","Train","oral","HSRJKNPTNIJEKV-UHFFFAOYSA"
"CNC(CC1=CC=CC=C1)C","-","-","AUTO_28","methamphetamine","A139796","32379452","-","-","High","Train","oral","MYWUZJCMWCOHBA-UHFFFAOYSA"
"O(C1=C(C(N(N(C(=O)C(N([H])[H])(C(O[H])([H])[H])[H])[H])[H])([H])[H])C(=C(C(O[H])=C1O[H])[H])[H])[H]","-","-","AUTO_29","Benserazide","A139796","32379452","-","-","Low","Train","oral","BNQDCRGUHNALGH-UHFFFAOYSA"
"N=C(NC(N)=N)NCCC1=CC=CC=C1","-","-","AUTO_30","Phenformin","A139796","32379452","-","-","High","Train","oral","ICFJFFQQTFMIBG-UHFFFAOYSA"
"NC1=NC=2N(C=NC2C(=O)N1)CCC(CO)CO","-","-","AUTO_31","PENCICLOVIR","A139796","32379452","-","-","High","Train","oral","JNTOCHDNEULJHD-UHFFFAOYSA"
"C#CCOC1C[NH+]2CCC1CC2","-","-","AUTO_32","Talsaclidine","A139796","32379452","-","-","High","Train","oral","XVFJONKUSLSKSW-JTQLQIEISA"
"OC=1C=C([N+](CC)(C)C)C=CC1","-","-","AUTO_33","edrophonium","A139796","32379452","-","-","Low","Train","oral","VWLHWLSRQJQWRG-UHFFFAOYSA"
"OC(C([NH2+]C)C)C1=CC=CC=C1","-","-","AUTO_34","Pseudoephedrine","A139796","32379452","-","-","High","Train","oral","KWGRBVOPPLSCSI-SCZZXKLOSA"
"OC1=CC=C(CC(NC)C)C=C1","-","-","AUTO_35","Pholedrine","A139796","32379452","-","-","Low","Train","oral","SBUQZKJEOOQSBV-UHFFFAOYSA"
"OC1=CC(C(O)CNCC)=CC=C1","-","-","AUTO_36","Etilefrine","A139796","32379452","-","-","Low","Train","oral","SQVIAVUSQAWMKL-UHFFFAOYSA"
"NCC(O)C1=C(OC)C=CC(OC)=C1","-","-","AUTO_37","DESGLYMIDODRINE","A139796","32379452","-","-","High","Train","oral","VFRCNXKYZVQYLX-UHFFFAOYSA"
"S1C(C2NC(=O)NC2C1)CCCCC(O)=O","-","-","AUTO_38","Biotin","A139796","32379452","-","-","High","Train","oral","YBJHBAHKTGYVGT-ZKWXMUAHSA"
"NC12CC3CC(CC(C1)C3)C2","-","-","AUTO_39","Amantadine","A139796","32379452","-","-","High","Train","oral","DKNWSYNQZKUICI-URIMCQPQSA"
"S1C=2C(C(N(C(C(C([H])([H])[H])([H])[H])([H])[H])[H])(C(C(C2N=C1N([H])[H])([H])[H])([H])[H])[H])([H])[H]","-","-","AUTO_40","Pramipexole","A139796","32379452","-","-","High","Train","oral","FASDKYOPVNHBLU-ZETCQYMHSA"
"C1(CC=C(C(C1)O)C)C(O)(C)C","-","-","AUTO_41","Sobrerol","A139796","32379452","-","-","High","Train","oral","OMDMTHRBGUBUCO-BDAKNGLRSA"
"S(OC1C(OC2OCC(O)C(OS(O)(=O)=O)C2OS(O)(=O)=O)COC(O)C1OS(O)(=O)=O)(O)(=O)=O","-","-","AUTO_42","pentosan polysulfate","A139796","32379452","-","-","Low","Train","oral","FCCNSUIJIOOXEZ-SJYYZXOBSA"
"O=C(N1CCN(CC1)C)N(CC)CC","-","-","AUTO_43","diethylcarbamazine","A139796","32379452","-","-","High","Train","oral","RCKMWOKWVGPNJF-UHFFFAOYSA"
"C1C(C(O)C(O)C(CO)N1CCCC)O","-","-","AUTO_44","Miglustat","A139796","32379452","-","-","High","Train","oral","UQRORFVVSGFNRO-UTINFBMNSA"
"OC1(CC(NC(CO)CO)C(O)C(O)C1O)CO","-","-","AUTO_45","voglibose","A139796","32379452","-","-","Low","Train","oral","FZNCGRZWXLXZSZ-CIQUZCHMSA"
"CCC(CO)NCCNC(CC)CO","-","-","AUTO_46","Ethambutol","A139796","32379452","-","-","High","Train","oral","AEUTYOVWOVBAKS-UHFFFAOYSA"
"C1=2NC(=O)CN1CC=3C(N2)=CC=C(Cl)C3Cl","-","-","AUTO_47","anagrelide","A139796","32379452","-","-","High","Train","oral","OTBXOEAOVRKTNQ-UHFFFAOYSA"
"FC1=C(C(N2N=NC(=C2[H])C(=O)N([H])[H])([H])[H])C(F)=C(C(=C1[H])[H])[H]","-","-","AUTO_48","Rufinamide","A139796","32379452","-","-","High","Train","oral","POGQSBRIGCQNEG-UHFFFAOYSA"
"C=1(C=2C=CN=CC2)C=C(C(=O)NC1)N","-","-","AUTO_49","Amrinone","A139796","32379452","-","-","High","Train","oral","RNLQIBCLLYYYFJ-UHFFFAOYSA"
"O(C)C1=[N+](C2=CC=CC=C2)N=CC(N)=C1","-","-","AUTO_50","Amezinium","A139796","32379452","-","-","High","Train","oral","VXROHTDSRBRJLN-UHFFFAOYSA"
"N=1C(=C(N=NC=2C=CC=CC2)C=CC1N)N","-","-","AUTO_51","Phenazopyridine","A139796","32379452","-","-","High","Train","oral","QPFYXYFORQJZEC-FOCLMDBBSA"
"CC(OC1=C(Cl)C=CC=C1Cl)C2=NCCN2","-","-","AUTO_52","Lofexidine","A139796","32379452","-","-","High","Train","oral","KSMAGQUYOIHWFS-ZETCQYMHSA"
"[N+](C=1C=CC(C(C(NC(C(Cl)Cl)=O)CO)O)=CC1)([O-])=O","-","-","AUTO_53","Chloramphenicol","A139796","32379452","-","-","High","Train","oral","WIIZWVCIJKGZOK-RKDXNWHRSA"
