No,Name,Updated SMILES,%F,logK(%F),Category,Source,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
1,3-Ketodesogestrel,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,76.0,0.500602351,1,"5,8,13,14,16",324.4640000000001,2,1,4.048700000000004,1
2,Abacavir,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,83.0,0.688629171,1,"3,5,8,12,13,14,16",286.33900000000006,7,3,1.0922999999999998,1
3,Abecarnil,COCc1c(C(=O)OC(C)C)[nH]cc2nc3ccc(OCc4ccccc4)cc3c1-2,92.0,1.06069784,1,"15,16",404.4660000000002,5,1,4.958300000000005,1
4,Acadesine,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N,10.0,-0.954242509,0,"15,16",258.23400000000004,8,5,-2.8242999999999996,1
5,Acamprosate,CC(=O)NCCCS(=O)(=O)O,11.0,-0.907997321,0,"5,8,13,14,16",181.213,3,2,-0.5995999999999997,1
6,Acarbose,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,2.0,-1.69019608,0,"5,8,10,13,14,15,16",645.6080000000003,19,14,-8.564500000000002,0
7,Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,37.0,-0.231138825,0,"5,8,10,12,13,14,15,16",336.4320000000001,5,3,2.3655,1
8,Acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,60.0,0.176091259,1,"5,8,13,14,15,16",353.33000000000004,6,1,3.517800000000003,1
9,Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,55.0,0.087150176,1,"5,8,13,14,16",326.465,4,0,4.443600000000004,1
10,Acetaminophen,CC(=O)Nc1ccc(O)cc1,88.0,0.865301426,1,"3,5,8,10,12,13,14,15,16",151.165,2,2,1.3505999999999998,1
11,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,99.0,1.995635195,1,"5,8,13,14,15,16",222.251,6,2,-0.8561000000000003,1
12,Acetohydroxamic Acid,CC(=O)NO,55.0,0.087150176,1,"5,8,13,14,16",75.067,2,2,-0.4882999999999999,1
13,Acetylcarnitine,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,10.0,-0.954242509,0,"5,8,13,14,16",203.23799999999997,4,0,-1.2356999999999976,1
14,Acetylcysteine,CC(=O)NC(CS)C(=O)O,5.0,-1.278753601,0,"5,8,13,14,16",163.198,3,3,-0.4945,1
15,Acetyldigitoxin,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,70.0,0.367976785,1,"5,8,13,14,16",806.9870000000003,14,4,3.8181000000000025,0
16,Aciclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,22.5,-0.537119184,0,"5,8,13,14,16",225.20799999999997,7,3,-1.3318000000000003,1
17,Acipimox,Cc1cnc(C(=O)O)c[n+]1[O-],90.0,0.954242509,1,"5,8,13,14,16",154.12499999999997,3,1,-0.2783799999999999,1
18,Acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,59.0,0.158068155,1,"5,8,13,14,15,16",326.4360000000001,2,1,5.167060000000005,0
19,Acrivastine,Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1,18.0,-0.658541347,0,"5,8,13,14,16",348.446,3,1,4.015320000000003,1
20,Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,12.0,-0.865301426,0,"5,8,10,13,14,16",273.1889999999999,7,3,-0.4397000000000001,1
21,Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,12.0,-0.865301426,0,"15,16",501.47700000000026,13,1,2.7025000000000006,0
22,Adinazolam,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,39.0,-0.194265228,0,"5,8,10,13,14,16",351.8410000000001,5,0,3.333300000000002,1
23,Alafosfalin,CC(N)C(=O)NC(C)P(=O)(O)O,50.0,0.0,0,"5,8,13,14,16",196.14299999999997,3,4,-1.0265,1
24,Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,5.0,-1.278753601,0,"15,16",265.33799999999997,4,2,3.2433000000000005,1
25,Alcuronium,C=CC[N+]12CCC34c5ccccc5N5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)c7ccccc7N(C=C(C(CC31)C(=CCO)C2)C54)C69,0.0,-2.0,0,"5,8,13,14,16",666.9100000000002,4,2,5.475600000000007,0
26,Alendronate,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1.0,-1.995635195,0,"5,8,12,13,14,15,16",249.096,4,6,-1.2731999999999999,0
27,Alfacalcidol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,71.0,0.388860351,1,"5,8,13,14,16",400.64700000000016,2,2,6.589800000000009,0
28,Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1.0,-1.995635195,0,"5,8,10,13,14,16",416.52600000000024,8,0,1.3838999999999997,1
29,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,55.0,0.087150176,1,"5,8,13,14,16",389.4560000000002,8,2,1.3507000000000002,1
30,Aliskiren,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,2.5,-1.591064607,0,"5,8,12,13,14,16",551.7690000000003,7,4,3.2935000000000043,0
31,Alizapride,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,84.0,0.720159303,1,"5,8,10,13,14,16",315.3770000000001,5,2,1.3466999999999996,1
32,Allopurinol,O=c1[nH]cnc2[nH]ncc12,53.0,0.052178012,1,"5,8,10,12,13,14,15,16",136.114,3,2,-0.35380000000000006,1
33,Almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,63.0,0.231138825,1,"5,8,13,14,16",477.56300000000016,7,2,4.257200000000004,1
34,Almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,70.0,0.367976785,1,"3,5,8,13,14,16",335.4730000000002,3,1,2.1975999999999996,1
35,Alosetron,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,55.0,0.087150176,1,"3,5,8,12,13,14,16",294.35800000000006,3,1,2.4083200000000007,1
36,Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,88.0,0.865301426,1,"5,8,10,12,13,14,15,16",308.77200000000005,4,0,3.5801200000000017,1
37,Alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,8.0,-1.06069784,0,"5,8,10,13,14,15,16",249.35399999999996,3,2,2.1528,1
38,Alprostadil,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,15.0,-0.753327667,0,"5,8,13,14,16",354.48700000000014,4,3,3.475100000000002,1
39,Alvimopan,CC1CN(CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,6.0,-1.194976603,0,"5,8,13,14,16",424.5410000000002,4,3,3.051400000000001,1
40,Amantadine,NC12CC3CC(CC(C3)C1)C2,90.0,0.954242509,1,"5,8,10,12,13,14,15,16",151.253,1,1,1.9139,1
41,Ambroxol,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,77.0,0.524762889,1,"5,8,13,14,16",378.10800000000023,3,3,3.1869000000000014,1
42,Amdinocillin,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,5.0,-1.278753601,0,"5,8,13,14,16",325.4339999999999,4,1,1.4062000000000001,1
43,Amdinocillin_pivoxil,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,0.0,-2.0,0,"5,8,13,14,16",439.5780000000003,7,0,2.4116,1
44,Amezinium,COc1cc(N)cn[n+]1-c1ccccc1,58.0,0.140178703,1,"5,8,13,14,16",202.23700000000005,3,1,0.9490999999999997,1
45,Amifostine,NCCCNCCSP(=O)(O)O,99.0,1.995635195,1,"5,8,13,14,16",214.22699999999998,4,4,-0.2492999999999997,1
46,Amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,0.0,-2.0,0,"5,8,13,14,16",585.6080000000002,17,13,-8.424200000000015,0
47,Amiloride,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,50.0,0.0,0,"5,8,12,13,14,16",229.63099999999997,5,4,-1.2919999999999998,1
48,Aminocamptothecin,CCC1(O)C(=O)CCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,49.0,-0.017374096,0,"5,8,13,14,16",361.4010000000001,6,2,2.1203,1
49,Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,95.0,1.278753601,1,"5,8,13,14,15,16",232.28299999999996,3,2,1.3532,1
50,Aminolevulinic_acid,NCC(=O)CCC(=O)O,60.0,0.176091259,1,"5,8,13,14,16",131.131,3,2,-0.6210000000000004,1
51,Amiprilose,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21,63.0,0.231138825,1,"5,8,13,14,16",305.37100000000004,7,2,-0.4470999999999983,1
52,Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,48.0,-0.034762106,0,"5,8,10,13,14,16",369.4870000000002,6,2,1.2851000000000006,1
53,Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,48.0,-0.034762106,0,"5,8,10,12,13,14,15,16",277.411,1,0,4.168600000000003,1
54,Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,74.0,0.454258372,1,"5,8,10,12,13,14,15,16",408.88200000000006,7,2,2.266300000000001,1
55,Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,95.0,1.278753601,1,"5,8,13,14,16",226.27599999999998,3,2,1.1849999999999998,1
56,Amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,75.0,0.477121255,1,"5,8,13,14,16",355.8690000000001,4,2,5.179200000000004,0
57,Amosulalol,COc1ccccc1OCCNCC(O)c1ccc(C)cc1S(N)(=O)=O,99.0,1.995635195,1,"5,8,13,14,16",380.4660000000001,6,3,1.3530200000000001,1
58,Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,36.0,-0.249877473,0,"5,8,13,14,16",313.788,4,1,3.4292000000000025,1
59,Amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,93.0,1.123384909,1,"5,8,10,12,13,14,15,16",365.4110000000001,6,4,0.023700000000000443,1
60,Amphotericin_B,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,3.0,-1.50965048,0,"5,8,13,14,16",924.0910000000003,17,12,0.7117000000000053,0
61,Ampicillin,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,62.0,0.212608093,1,"5,8,10,12,13,14,15,16",349.4120000000001,5,3,0.3181000000000002,1
62,Ampiroxicam,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,0.0,-2.0,0,"5,8,13,14,16",447.46900000000016,8,1,2.558700000000001,1
63,Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,93.0,1.123384909,1,"5,8,12,13,14,15,16",187.202,3,2,1.0191,1
64,Amsalog,CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,34.0,-0.288065018,0,"5,8,13,14,16",464.5470000000003,6,3,4.179720000000003,1
65,Anagrelide,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,75.0,0.477121255,1,"5,8,13,14,16",256.092,3,1,1.9263000000000001,1
66,Anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,80.0,0.602059991,1,"3,5,8,12,13,14,15,16",293.374,5,0,2.9287600000000014,1
67,Anisotropine Methylbromide,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,17.5,-0.6734159,0,"5,8,13,14,16",282.448,2,0,3.5158000000000023,1
68,Antipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,99.0,1.995635195,1,"5,8,10,13,14,16",188.23000000000002,3,0,1.4844199999999999,1
69,Antrafenine,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,99.0,1.995635195,1,"5,8,13,14,16",588.5520000000004,6,1,6.9950000000000045,0
70,Apomorphine,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,10.0,-0.954242509,0,"5,8,13,14,16",267.328,3,2,2.8499000000000025,1
71,Aprepitant,CC(OC1OCCN(Cc2nc(=O)[nH][nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,62.5,0.22184875,1,"3,5,8,13,14,16",534.4320000000001,5,2,4.952100000000004,0
72,Aprindine,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,85.0,0.753327667,1,"5,8,13,14,16",322.4960000000001,2,0,4.392300000000004,1
73,Arbekacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,0.0,-2.0,0,"5,8,13,14,16",552.6260000000003,15,11,-6.3994000000000035,0
74,Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,87.0,0.8255759,1,"5,8,12,13,14,16",448.39400000000006,4,1,4.859300000000005,1
75,Artemether,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,58.0,0.140178703,1,"5,8,13,14,16",298.379,5,0,2.8408000000000015,1
76,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,2.0,-1.69019608,0,"5,8,13,14,15,16",458.58100000000024,5,1,5.351300000000005,0
77,Atazanavir,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,64.0,0.249877473,1,"5,8,13,14,16",704.869,9,5,4.2116000000000025,0
78,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,56.0,0.104735351,1,"5,8,10,12,13,14,15,16",266.34099999999995,4,3,0.45210000000000006,1
79,Atomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,94.0,1.194976603,1,"3,5,8,10,13,14,16",255.361,2,1,3.7246200000000034,1
80,Atovaquone,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,23.0,-0.524762889,0,"3,5,8,10,12,13,14,15,16",366.84400000000016,3,1,5.505100000000004,0
