Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.31999999999996,-0.77,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,457.4320000000001,12,7,-3.108019999999997,0
Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc1ccccc1,201.22500000000002,2,1,2.840320000000001,1
citral,-2.5789999999999997,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC=O,152.237,1,0,2.878000000000001,1
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,278.354,0,0,6.299400000000004,0
Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,84.14299999999999,1,0,1.7480999999999998,1
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c1ccc2scnc2c1,135.191,2,0,2.2962999999999996,1
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,326.437,0,0,6.620600000000001,0
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,272.3879999999999,2,2,3.6092000000000026,1
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,380.913,1,0,4.481400000000002,1
Rotenone,-5.246,1,394.42300000000023,0,5,3,63.22,-4.42,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,394.4230000000001,6,0,3.7033000000000023,1
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,85.10600000000001,1,1,-0.10360000000000008,1
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,162.61899999999997,0,0,3.4932000000000016,1
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,C=CCCC,70.13499999999999,0,0,1.9725,1
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(c2ccccc2)C(=O)NCNC1=O,218.25599999999994,2,2,0.5378999999999999,1
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,198.39399999999995,0,0,5.707400000000006,0
2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,78.542,0,0,1.6336,1
2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,88.14999999999999,1,1,1.0248,1
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,103.12399999999997,1,0,1.5582799999999999,1
Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,304.35200000000003,6,0,3.5847200000000026,1
2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,172.312,1,1,3.5079000000000025,1
"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,326.437,0,0,6.620600000000001,0
Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,234.2989999999999,3,1,1.5305,1
Phorate,-3.747,1,260.38599999999997,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,260.38599999999997,5,0,3.727700000000003,1
Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(C)=O)cc1,179.219,2,1,2.0437,1
Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],322.24300000000005,6,1,2.9502000000000006,1
