Name,SMILES,%F,label_cutoff_50%,our model predition_50%,label_cutoff_20%,our model predition_20%,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,logK(%F)
sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,90.0,1,1,1.0,1.0,250.28300000000004,5,2,0.8596000000000001,1,0.9542425094393249
clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,50.0,1,1,1.0,1.0,303.681,8,3,-0.3494000000000002,1,0.0
sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,99.0,1,1,1.0,1.0,253.283,5,2,1.3660199999999998,1,1.99563519459755
tolazoline,c1ccc(CC2=NCCN2)cc1,90.0,1,1,1.0,1.0,160.22000000000003,2,1,1.2308,1,0.9542425094393249
cotinine,CN1C(=O)CCC1c1cccnc1,97.0,1,1,1.0,1.0,176.21900000000002,2,0,1.3749,1,1.5096504795465824
methylaminorex,CC1NC(=N)OC1c1ccccc1,62.0,1,1,1.0,1.0,176.219,2,2,1.67077,1,0.21260809288144372
ritipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(COC(=N)O)SC12,37.0,0,0,1.0,1.0,288.281,6,4,-0.2959300000000001,1,-0.2311388253865867
didanosine,OCC1CCC(n2cnc3c(O)ncnc32)O1,38.0,0,0,1.0,1.0,236.231,7,2,0.2018,1,-0.21260809288144372
tazobactam,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.01,0,0,0.0,0.0,300.296,7,1,-1.523199999999998,1,-3.9999565683801923
phenylbutyrate,O=C(O)CCCc1ccccc1,78.0,1,1,1.0,1.0,164.204,1,1,2.0939,1,0.5496719218682742
fludarabine,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,57.5,1,1,1.0,0.0,365.21400000000006,10,5,-1.7239000000000009,1,0.13127891463931898
guanoxan,N=C(N)NCC1COc2ccccc2O1,50.0,1,1,1.0,1.0,207.233,3,3,0.3094699999999997,1,0.0
nifurtimox,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,26.0,0,1,1.0,1.0,287.297,7,0,0.6406000000000001,1,-0.4542583717601582
zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,63.0,1,1,1.0,1.0,267.24499999999995,7,2,0.2160199999999997,1,0.2311388253865867
vidarabine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.01,0,0,0.0,0.0,267.245,9,4,-1.9800000000000009,1,-3.9999565683801923
phenacetin,CCOc1ccc(N=C(C)O)cc1,25.0,0,1,1.0,1.0,179.219,2,1,2.693200000000001,1,-0.47712125471966244
methyldopa,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,42.0,0,0,1.0,1.0,211.217,4,4,0.4423000000000001,1,-0.1401787031650368
seletracetam,CCC(C(=N)O)N1CC(C=C(F)F)CC1=O,90.0,1,1,1.0,1.0,232.22999999999996,2,2,1.92917,1,0.9542425094393249
nicotine,CN1CCCC1c1cccnc1,30.0,0,0,1.0,1.0,162.236,2,0,1.8483,1,-0.36797678529459443
carbidopa,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,70.0,1,1,1.0,1.0,226.232,5,5,-0.0531000000000001,1,0.36797678529459443
telbivudine,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,68.0,1,1,1.0,1.0,242.23099999999997,7,3,-1.10198,1,0.32735893438633035
proxyphylline,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,99.0,1,1,1.0,1.0,238.247,7,1,-1.1855,1,1.99563519459755
diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,90.0,1,1,1.0,1.0,254.246,8,2,-2.213099999999999,1,0.9542425094393249
tolmesoxide,COc1cc(C)c(S(C)=[OH+])cc1OC,85.0,1,1,1.0,1.0,215.294,2,0,1.90672,1,0.7533276666586115
methamphetamine,CNC(C)Cc1ccccc1,67.0,1,1,1.0,1.0,149.237,1,1,1.837,1,0.30756086282293893
phenformin,N=C(N)NC(=N)NCCc1ccccc1,55.0,1,1,1.0,1.0,205.265,2,5,0.2365400000000008,1,0.0871501757189002
penciclovir,N=c1nc(O)c2ncn(CCC(CO)CO)c2[nH]1,77.0,1,1,1.0,1.0,253.26199999999997,7,5,-1.0646300000000002,1,0.524762889154889
talsaclidine,C#CCOC1CN2CCC1CC2,90.0,1,1,1.0,1.0,165.236,2,0,0.7303999999999999,1,0.9542425094393249
edrophonium,CC[N+](C)(C)c1cccc(O)c1,0.01,0,0,0.0,0.0,166.24399999999997,1,1,1.9790000000000003,1,-3.9999565683801923
pseudoephedrine,CNC(C)C(O)c1ccccc1,99.99,1,1,1.0,1.0,165.236,2,2,1.3279,1,3.9999565683799703
pholedrine,CNC(C)Cc1ccc(O)cc1,20.0,0,0,1.0,1.0,165.236,2,2,1.5425999999999995,1,-0.6020599913279624
desglymidodrine,COc1ccc(OC)c(C(O)CN)c1,93.0,1,1,1.0,1.0,197.234,4,2,0.6959,1,1.1233849085396783
biotin,O=C(O)CCCCC1SCC2N=C(O)NC21,99.0,1,1,1.0,1.0,244.31600000000003,4,3,1.0012,1,1.99563519459755
amantadine,NC12CC3CC(CC(C3)C1)C2,90.0,1,1,1.0,1.0,151.253,1,1,1.9139,1,0.9542425094393249
pramipexole,CCCNC1CCc2[nH]c(=N)sc2C1,93.0,1,1,1.0,1.0,211.334,3,3,1.4125699999999997,1,1.1233849085396783
sobrerol,CC1=CCC(C(C)(C)O)CC1O,72.0,1,1,1.0,1.0,170.25199999999998,2,2,1.4745,1,0.41017446508904926
pentosan,O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O,3.0,0,0,0.0,0.0,602.5010000000002,17,6,-4.810599999999993,0,-1.5096504795465824
diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,90.0,1,1,1.0,1.0,199.29799999999992,2,0,0.6956,1,0.9542425094393249
miglustat,CCCCN1CC(O)C(O)C(O)C1CO,97.0,1,1,1.0,1.0,219.281,5,4,-1.4542999999999997,1,1.5096504795465824
voglibose,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,6.0,0,0,0.0,0.0,267.278,8,8,-4.492399999999994,0,-1.1949766032160551
ethambutol,CCC(CO)NCCNC(CC)CO,77.0,1,1,1.0,1.0,204.314,4,4,-0.292599999999999,1,0.524762889154889
anagrelide,OC1=NC2=Nc3ccc(Cl)c(Cl)c3CN2C1,75.0,1,1,1.0,1.0,256.092,3,1,2.7666000000000013,1,0.47712125471966244
rufinamide,N=C(O)c1cn(Cc2c(F)cccc2F)nn1,85.0,1,1,1.0,1.0,238.197,4,2,1.4879699999999998,1,0.7533276666586115
amrinone,Nc1cc(-c2ccncc2)cnc1O,93.0,1,1,1.0,1.0,187.202,4,2,1.4314,1,1.1233849085396783
amezinium,COc1cc(=N)cnn1-c1ccccc1,58.0,1,1,1.0,1.0,201.22900000000004,4,1,1.36037,1,0.1401787031650368
phenazopyridine,N=c1ccc(N=Nc2ccccc2)c(N)[nH]1,60.0,1,1,1.0,1.0,213.24400000000003,4,3,2.4917699999999994,1,0.17609125905568124
lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,90.0,1,1,1.0,1.0,259.13599999999997,3,1,2.7624000000000004,1,0.9542425094393249
chloramphenicol,O=[N+]([O-])c1ccc(C(O)C(CO)N=C(O)C(Cl)Cl)cc1,80.0,1,1,1.0,1.0,323.13199999999995,5,3,1.7493,1,0.6020599913279624
idazoxan,c1ccc2c(c1)OCC(C1=NCCN1)O2,34.0,0,0,1.0,1.0,204.22899999999996,4,1,0.8280999999999994,1,-0.2880650184996136
oxitriptan,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,70.0,1,1,1.0,1.0,220.228,3,4,0.8279000000000003,1,0.36797678529459443
levamisole,c1ccc(C2CN3CCSC3=N2)cc1,65.0,1,1,1.0,1.0,204.298,3,0,2.1460999999999997,1,0.26884531229257996
brivudine,O=c1nc(O)c(C=CBr)cn1C1CC(O)C(CO)O1,30.0,0,0,1.0,1.0,333.13800000000003,7,3,-0.0447999999999998,1,-0.36797678529459443
sorivudine,O=c1nc(O)c(C=CBr)cn1C1OC(CO)C(O)C1O,70.0,1,1,1.0,1.0,349.137,8,4,-1.074,1,0.36797678529459443
sulfisoxazole,Cc1nsc(NS(=O)(=O)c2ccc(N)cc2)c1C,93.0,1,1,1.0,1.0,283.37800000000004,5,2,2.1429400000000003,1,1.1233849085396783
idrocilamide,OCCN=C(O)C=Cc1ccccc1,30.0,0,0,1.0,1.0,191.23,2,2,1.6485999999999998,1,-0.36797678529459443
toloxatone,Cc1cccc(N2CC(CO)OC2=O)c1,56.0,1,1,1.0,1.0,207.229,3,1,1.31252,1,0.10473535052001298
lorcaserin,CC1CNCCc2ccc(Cl)cc21,90.0,1,1,1.0,1.0,195.693,1,1,2.589200000000001,1,0.9542425094393249
ethylphenylmalonamide,CCC(C(=N)O)(C(=N)O)c1ccccc1,91.0,1,1,1.0,1.0,206.245,2,4,2.4049400000000007,1,1.0047988828817687
felbamate,N=C(O)OCC(COC(=N)O)c1ccccc1,90.0,1,1,1.0,1.0,238.24300000000005,4,4,1.78894,1,0.9542425094393249
doxofylline,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,63.0,1,1,1.0,1.0,266.25699999999995,8,0,-1.1933999999999994,1,0.2311388253865867
forodesine,OCC1NC(c2c[nH]c3c(O)ncnc23)C(O)C1O,40.0,0,0,1.0,1.0,266.257,7,6,-1.6095000000000008,0,-0.17609125905568127
lobucavir,N=c1nc(O)c2ncn(C3CC(CO)C3CO)c2[nH]1,30.0,0,0,1.0,1.0,265.27299999999997,7,5,-0.8937300000000001,1,-0.36797678529459443
nelarabine,COc1nc(=N)[nH]c2c1ncn2C1OC(CO)C(O)C1O,11.0,0,0,0.0,0.0,297.271,9,5,-2.141029999999999,1,-0.9079973214866878
methocarbamol,COc1ccccc1OCC(O)COC(=N)O,32.0,0,1,1.0,1.0,241.24299999999997,5,3,0.94427,1,-0.32735893438633035
proguanil,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,60.0,1,1,1.0,1.0,253.737,2,5,2.209039999999999,1,0.17609125905568124
tocainide,Cc1cccc(C)c1N=C(O)C(C)N,89.0,1,1,1.0,1.0,192.262,2,2,2.23864,1,0.9079973214866878
pilocarpine,CCC1C(=O)OCC1Cc1cncn1C,99.99,1,1,1.0,1.0,208.261,4,0,1.1618000000000002,1,3.9999565683799703
bretylium,CC[N+](C)(C)Cc1ccccc1Br,23.0,0,0,1.0,1.0,243.168,0,0,3.0454000000000017,1,-0.524762889154889
mexiletine,Cc1cccc(C)c1OCC(C)N,87.0,1,1,1.0,1.0,179.26299999999998,2,1,2.0294399999999997,1,0.8255759003117817
isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,0.01,0,0,0.0,1.0,211.261,4,4,1.1291999999999998,1,-3.9999565683801923
orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1,40.0,0,0,1.0,1.0,211.261,4,4,1.1291999999999998,1,-0.17609125905568127
pentobarbital,CCCC(C)C1(CC)C(O)=NC(=O)N=C1O,80.0,1,1,1.0,1.0,226.276,1,2,2.8656000000000006,1,0.6020599913279624
ranitidine,CN=C(NCCSCc1ccc(CNC)o1)N[N+](=O)[O-],52.0,1,1,1.0,1.0,301.372,6,3,0.5889000000000003,1,0.03476210625921191
brivaracetam,CCCC1CC(=O)N(C(CC)C(=N)O)C1,99.99,1,1,1.0,1.0,212.293,2,2,1.94887,1,3.9999565683799703
mecamylamine,CNC1(C)C2CCC(C2)C1(C)C,99.0,1,1,1.0,1.0,167.296,1,1,2.4206000000000003,1,1.99563519459755
nilutamide,CC1(C)N=C(O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,99.99,1,1,1.0,1.0,317.223,4,1,2.6528,1,3.9999565683799703
cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,72.5,1,1,1.0,1.0,262.22099999999995,6,1,0.8432999999999997,1,0.42100531274073105
furosemide,NS(=O)(=O)c1cc(Cl)cc(NCc2ccco2)c1C(=O)O,71.0,1,1,1.0,1.0,330.7490000000001,5,3,1.8907000000000005,1,0.38886035082011916
