,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
0,C#CC(CC(=O)OCC)N=C(O)CCC(=O)Nc1ccc(C(=N)N)cc1,13.0,-0.8255759003117817,358.398,5,4,1.6008699999999998,1,0
1,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,93.0,1.123384909,310.43700000000007,2,1,3.6586000000000025,1,1
2,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,76.0,0.5006023505691853,324.4640000000001,2,1,4.048700000000004,1,1
3,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C=CC21CC,94.0,1.194976603216055,310.43700000000007,2,1,3.6586000000000025,1,1
4,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,64.0,0.249877473,298.42600000000004,2,1,3.4925000000000024,1,0
5,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,94.0,1.194976603,312.4530000000001,2,1,3.882600000000003,1,1
6,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,5.0,-1.278753601,310.48100000000005,1,1,4.869700000000004,1,0
7,C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,30.0,-0.3679767852945944,284.443,1,1,4.313500000000004,1,0
8,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,35.0,-0.2688453122925799,337.46300000000014,3,1,4.221000000000004,1,0
9,C#CC1(O)CCC2C3CCC4CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,69.0,0.3474873969029826,417.5930000000002,3,1,5.096300000000006,0,0
10,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,33.0,-0.307560863,326.4360000000001,3,2,3.2375000000000016,1,0
11,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,40.0,-0.1760912590556812,296.4100000000001,2,2,3.612600000000002,1,0
12,C#CCN(C)C(C)Cc1ccccc1,4.4000001,-1.3370052054653008,187.286,1,0,2.1826,1,0
13,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,40.0,-0.1760912590556812,308.7680000000001,2,0,3.1572000000000022,1,0
14,C#CCNC1CCc2ccccc21,36.0,-0.2498774732165999,171.243,1,1,1.8967,1,0
15,C#CCOC1CN2CCC1CC2,90.0,0.9542425094393248,165.236,2,0,0.7303999999999999,1,1
16,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,59.0,0.1580681549224086,393.4430000000002,7,1,3.405100000000002,1,0
17,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,75.0,0.4771212547196624,368.5240000000001,2,0,5.1070000000000055,0,0
18,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,73.5,0.443041465,277.496,1,1,5.295400000000005,0,0
