Solubility_log(mol/L),SMILES,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
-13.1719,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,653.73,0,0,9.716199999999992,0
-12.95,Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,514.6610000000003,1,0,10.0129,0
-12.0605,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,459.7540000000002,2,0,8.8118,0
-11.9989378619,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Cu+2],626.4660000000006,4,0,9.5451,0
-11.8,Brc1c(Br)c(Br)c(Oc2ccccc2)c(Br)c1Br,564.6910000000001,1,0,7.291400000000002,0
-11.8,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,564.691,1,0,7.291400000000002,0
-11.8,Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2)c(Br)c1,564.691,1,0,7.291400000000002,0
-11.8,Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,564.691,1,0,7.291400000000002,0
-11.8,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,564.691,1,0,7.291400000000002,0
-11.62,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,498.66200000000026,0,0,9.887599999999999,0
-11.62,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,498.66200000000026,0,0,9.887599999999999,0
-11.62,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,498.66200000000026,0,0,9.887599999999999,0
-11.6,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,498.66200000000026,0,0,9.887599999999999,0
-11.6,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,498.66200000000026,0,0,9.887599999999999,0
-11.5827,Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,443.7550000000001,1,0,8.813199999999998,0
-11.4817,Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,409.31000000000006,1,0,8.159799999999999,0
-11.4795,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,425.30900000000014,2,0,8.158399999999999,0
-10.9486,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,390.8640000000001,2,0,7.505,0
-10.66,Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl,374.8650000000001,1,0,7.506399999999999,0
-10.6,Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,445.7710000000002,1,0,8.7061,0
-10.55,Clc1cc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,480.21600000000024,1,0,9.359499999999999,0
-10.4115,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.41,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.41,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.41,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.3,Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,374.8650000000001,1,0,7.5064,0
-10.26,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.26,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.26,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,464.2170000000002,0,0,9.2342,0
-10.2347171749,CCCCCCCCCCCCCCCCCCC1CC(=O)N(CCNCCNCCNCCN2C(=O)CC(CCCCCCCCCCCCCCCCCC)C2=O)C1=O,858.394999999999,7,3,11.808599999999988,0
-10.11,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,643.587,1,0,8.053900000000002,0
