"SMILES","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","Oral absorption","UNIT {Oral absorption}","Oral absorption {measured, converted}","UNIT {Oral absorption}","Species","AssayID","UNIT {AssayID}","Molecule ChEMBL ID","UNIT {Molecule ChEMBL ID}","Document ChEMBL ID","UNIT {Document ChEMBL ID}","Clinical phase","UNIT {Clinical phase}"
"C1(=C(C=C(NC(CCC)=O)C=C1)C(C)=O)OCC(CNC(C)C)O","-","2","Acebutolol","A166","9874698","30","1","90.0","% ","90.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(O)C=C1)NC(C)=O","-","3","Acetaminophen","A166","9874698","30","1","80.0","% ","80.0","% ","","","-","","-","","-","","-"
"C1(=C(C=CC=C1)OC(C)=O)C(=O)O","-","4","Acetylsalicylic acid","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C(C1=NC(=CC=C1)C=CC(O)=O)(C2=CC=C(C)C=C2)=CCN3CCCC3","-","5","acrivastine","A166","9874698","30","1","88.0","% ","88.0","% ","","","-","","-","","-","","-"
"O(CN1C=2NC(=NC(=O)C2N=C1)N)CCO","-","6","Acyclovir","A166","9874698","30","1","16.0","% ","16.0","% ","","","-","","-","","-","","-"
"C1=CC=C(C(=C1)CC=C)OCC(O)CNC(C)C","-","7","Alprenolol","A166","9874698","30","1","93.0","% ","93.0","% ","","","-","","-","","-","","-"
"S1C2N(C(C1(C)C)C(O)=O)C(=O)C2NC(=O)C(N)C3=CC=C(O)C=C3.O1C2N(C(C1=CCO)C(O)=O)C(=O)C2","-","8","amoxicillin-clavulinate; amoxicillin-clavulanate","A166","9874698","30","1","94.0","% ","94.0","% ","","","-","","-","","-","","-"
"O=C1N(N(C(=C1[H])C([H])([H])[H])C([H])([H])[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H]","-","9","Antipyrine","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
"C1(=CC=C(CC(N)=O)C=C1)OCC(CNC(C)C)O","-","10","atenolol","A166","9874698","30","1","50.0","% ","50.0","% ","","","-","","-","","-","","-"
"O1C(N2C=C(C(=O)NC2=O)C)CC(N=[N+]=[N-])C1CO","-","11","AZT(Zidovudine)","A166","9874698","30","1","100.0","% ","100.0","% ","","","-","","-","","-","","-"
