PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates type of activity observed: 0-10 = Low Permeability (class = 1); 10-100 = Moderate Permeability (class =1); >100 = High Permeability (class = 0),Observed PAMPA at pH 7.4 (x 10-6 cm/sec),Annotation/notes on a particular compound's data or its analysis based on the published paper.,Source of compound QC
1,855633,2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,Active,,,,High,133.08,class = 0,QC'ed NCATS
2,85267104,1259573,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,Inactive,,,,Low,7.34,class = 1,QC'ed NCATS
3,7978154,1275864,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,Active,,,,High,970.77,class = 0,QC'ed NCATS
4,17402368,4878,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,Active,,,,High,>1000,class = 0,QC'ed NCATS
5,17511506,2030130,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,Active,,,,High,440.35,class = 0,QC'ed NCATS
6,22411266,4422695,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,Active,,,,Moderate,23.43,class = 1,QC'ed NCATS
7,14720733,1131802,COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,Active,,,,High,530.2,class = 0,QC'ed NCATS
8,14732296,759785,CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,Active,,,,Moderate,44.23,class = 1,QC'ed NCATS
9,22416654,2886111,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,Active,,,,High,580.88,class = 0,QC'ed NCATS
10,24824333,1489415,C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,Active,,,,High,147.52,class = 0,QC'ed NCATS
11,24817107,1075912,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,Inactive,,,,Low,8.62,class = 1,QC'ed NCATS
12,24807327,15740787,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],Inactive,,,,Low,1,class = 1,QC'ed NCATS
13,24780348,16187362,CCOC(=O)C1(CCN(CC1)C2CCN(CC2)C(C)C)CC3=CC=CC=C3C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
14,26667298,16682542,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,Active,,,,High,460.58,class = 0,QC'ed NCATS
15,26670449,4880352,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,Active,,,,High,289.75,class = 0,QC'ed NCATS
16,26726099,1955100,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,Active,,,,Moderate,12.14,class = 1,QC'ed NCATS
17,49816692,2985259,C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F,Active,,,,High,>1000,class = 0,QC'ed NCATS
18,49822379,16452407,CC1=CC(=CC=C1)N2C=CC(=O)C(=N2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
19,49823269,6461311,C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,Active,,,,High,117.2,class = 0,QC'ed NCATS
20,49646140,16397347,CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,Inactive,,,,Low,4.52,class = 1,QC'ed NCATS
21,49667996,16396759,C/C(=N\NC(=S)N)/C1=CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(C4)O)C)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
22,49673740,9268266,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CCOC3=CC=C(C=C3)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
23,47195715,741756,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,Active,,,,High,105.78,class = 0,QC'ed NCATS
24,47201514,4451672,C1=CC=C(C=C1)C2=C(N3C(=C(C=N3)C4=CC=CC=C4)N=C2)N,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
25,49649460,23604753,CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,Active,,,,High,206.84,class = 0,QC'ed NCATS
26,92763348,434973,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,Active,,,,Moderate,19.46,class = 1,QC'ed NCATS
27,99355989,277845,C1CCC(=O)C2=CC(=C(C=C2C1)O)O,Active,,,,Moderate,20.94,class = 1,QC'ed NCATS
28,4238496,3233606,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
29,4239807,3234914,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,Active,,,,High,354.66,class = 0,QC'ed NCATS
30,4240333,3235438,C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
31,4240452,3235557,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,Inactive,,,,Low,1.5,class = 1,QC'ed NCATS
32,144203564,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inactive,,,,Low,1,class = 1,QC'ed NCATS
33,124877225,24867565,C[C@@H]1C[C@@H](C(NC1)[C@H](C)C2=C(C3=C(C=C2)[C@@H]4CC=C5C[C@H](CC[C@@]5([C@@H]4C3)C)O)C)O,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
34,124877459,193613,C1=CC=C(C=C1)CSC[C@@H](C(=O)O)N,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
35,124877612,3246218,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO,Inactive,,,,Low,1,class = 1,QC'ed NCATS
36,124877741,3246272,C[N+]1([C@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](CO)C3=CC=CC=C3)[O-],Inconclusive,,,,N/F,N/F,,QC'ed NCATS
37,124877816,256519,CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C,Active,,,,Moderate,43.9,class = 1,QC'ed NCATS
38,124878032,92180,CC(=CCNC1=NC=NC2=C1NC=N2)C,Active,,,,Moderate,54.15,class = 1,QC'ed NCATS
39,124878062,269325,CC1=NC(=NC2=CC=CC=C12)N,Active,,,,Moderate,69.7,class = 1,QC'ed NCATS
