CMPD_CHEMBLID,exp,smiles,MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule
CHEMBL596271,3.54,Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,340.85800000000006,4,0,3.5489000000000024,1
CHEMBL1951080,-1.18,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,494.59100000000035,7,2,2.990100000000001,1
CHEMBL1771,3.69,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,321.829,4,0,3.6739000000000024,1
CHEMBL234951,3.37,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,419.89000000000004,5,4,1.9236999999999993,1
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,381.48000000000013,5,2,2.0069,1
CHEMBL317462,3.14,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,303.4050000000001,2,1,3.1618000000000013,1
CHEMBL1951182,-0.72,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,505.5930000000004,7,3,2.9759,0
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,502.3980000000002,5,3,4.785720000000003,0
CHEMBL13097,3.05,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,312.321,5,0,3.485800000000002,1
CHEMBL1527751,2.25,Oc1ncnc2scc(-c3ccsc3)c12,234.305,5,1,3.125400000000001,1
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,397.4960000000002,5,1,2.6906000000000008,1
CHEMBL578201,2.61,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,352.3770000000001,7,3,3.1390200000000004,1
CHEMBL276218,-0.08,O=C1CCCCCN1,113.16000000000001,1,1,0.6766000000000001,1
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,327.453,4,0,3.956000000000003,1
CHEMBL1916276,1.34,Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)cnn2-c2ccccc2)cc1,452.58000000000015,5,2,4.290020000000004,1
CHEMBL93884,3.2,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,242.30300000000003,4,2,3.251100000000001,1
CHEMBL2171986,1.6,COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1,384.48000000000013,5,1,1.7899799999999997,1
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,387.47600000000006,6,0,3.7363000000000026,1
CHEMBL469790,3.15,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,454.9390000000003,8,1,3.742200000000002,1
CHEMBL2165055,0.32,CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2,488.54800000000034,9,2,1.4781799999999998,1
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,442.6250000000002,6,3,5.437900000000008,0
CHEMBL2036736,1.92,O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,427.8480000000002,7,2,3.0642000000000014,1
