SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Solubility_log(mol/L),UNIT {Water solubility},"Water solubility {measured, converted}",UNIT {Water solubility}.1,Dataset,Temperature,UNIT {Temperature},Ionic strength,UNIT {Ionic strength},comment (chemical),source,pH,UNIT {pH}
CC(N)=O,60-35-5,-,1,acetamide,A64,11749573,-,-,1.58,log(mol/L),-1.58,-log(M),Train,,-,,-,,,,-
CNN,60-34-4,-,2,methyl hydrazine,A64,11749573,-,-,1.34,log(mol/L),-1.34,-log(M),Train,,-,,-,,,,-
CC(O)=O,64-19-7,-,3,acetic acid,A64,11749573,-,-,1.22,log(mol/L),-1.22,-log(M),Train,,-,,-,,,,-
C1CCCN1,123-75-1,-,4,pyrrolidine,A64,11749573,-,-,1.15,log(mol/L),-1.15,-log(M),Train,,-,,-,,,,-
NC(NO)=O,127-07-1,-,5,hydroxyurea,A64,11749573,-,-,1.12,log(mol/L),-1.12,-log(M),Train,,-,,-,,,,-
OC(CO)CO,56-81-5,-,6,glycerol,A64,11749573,-,-,1.12,log(mol/L),-1.12,-log(M),Train,,-,,-,,,,-
CC(N(C)C)=O,127-19-5,-,7,"n,n-dimethylacetamide",A64,11749573,-,-,1.11,log(mol/L),-1.11,-log(M),Train,,-,,-,,,,-
C1=CC=CN=N1,289-80-5,-,8,pyridazine,A64,11749573,-,-,1.1,log(mol/L),-1.1,-log(M),Train,,-,,-,,,,-
C1=CC=NC=N1,289-95-2,-,9,pyrimidine,A64,11749573,-,-,1.1,log(mol/L),-1.1,-log(M),Train,,-,,-,,,,-
CC(N)CC(O)=O,541-48-0,-,11,beta-aminobutyric acid,A64,11749573,-,-,1.08,log(mol/L),-1.08,-log(M),Train,,-,,-,,,,-
C1CNCCN1,110-85-0,-,12,piperazine,A64,11749573,-,-,1.07,log(mol/L),-1.07,-log(M),Train,,-,,-,,,,-
C1CCCCN1,110-89-4,-,13,piperidine,A64,11749573,-,-,1.07,log(mol/L),-1.07,-log(M),Train,,-,,-,,,,-
OC1=CC=NC=C1,626-64-2,-,14,4-hydroxypyridine,A64,11749573,-,-,1.02,log(mol/L),-1.02,-log(M),Train,,-,,-,,,,-
OC1=NC=CC=C1,72762-00-6,-,15,2-hydroxypyridine,A64,11749573,-,-,1.02,log(mol/L),-1.02,-log(M),Train,,-,,-,,,,-
OC(CCCC(O)=O)=O,110-94-1,-,16,glutaric acid,A64,11749573,-,-,1.0,log(mol/L),-1.0,-log(M),Train,,-,,-,,,,-
CN1CCOCC1,109-02-4,-,17,n-methylmorpholine,A64,11749573,-,-,1.0,log(mol/L),-1.0,-log(M),Train,,-,,-,,,,-
NC(OC)=O,598-55-0,-,18,o-methyl carbamate,A64,11749573,-,-,0.97,log(mol/L),-0.97,-log(M),Train,,-,,-,,,,-
